jaylen,adams
giannis,antetokounmpo
thanasis,antetokounmpo
d.j.,augustin
elijah,bryant
pat,connaughton
torrey,craig
mamadi,diakite
donte,divincenzo
bryn,forbes
jrue,holiday
justin,jackson
rodions,kurucs
brook,lopez
sam,merrill
khris,middleton
jordan,nwora
bobby,portis
jeff,teague
axel,toupane
p.j.,tucker
d.j.,wilson
lamarcus,aldridge
jarrett,allen
bruce,brown
chris,chiozza
nic,claxton
tyler,cook
spencer,dinwiddie
kevin,durant
jeff,green
blake,griffin
james,harden
joe,harris
kyrie,irving
mike,james
alize,johnson
tyler,johnson
deandre,jordan
rodions,kurucs
caris,levert
timothé,luwawu-cabarrot
norvel,pelle
reggie,perry
taurean,prince
andre,roberson
landry,shamet
iman,shumpert
noah,vonleh
deni,avdija
bradley,beal
jordan,bell
dāvis,bertāns
isaac,bonga
troy,brown,jr.
thomas,bryant
daniel,gafford
anthony,gill
rui,hachimura
chandler,hutchison
alex,len
robin,lopez
garrison,mathews
raul,neto
anžejs,pasečņiks
jerome,robinson
ish,smith
moritz,wagner
russell,westbrook
cassius,winston
udoka,azubuike
bojan,bogdanović
jarrell,brantley
jordan,clarkson
mike,conley
derrick,favors
trent,forrest
rudy,gobert
shaquille,harrison
elijah,hughes
ersan,i̇lyasova
joe,ingles
donovan,mitchell
juwan,morgan
georges,niang
royce,o'neale
miye,oni
matt,thomas
carmelo,anthony
keljin,blevins
robert,covington
cj,elleby
enes,freedom
harry,giles
rondae,hollis-jefferson
rodney,hood
derrick,jones,jr.
t.j.,leaf
damian,lillard
nassir,little
cj,mccollum
jusuf,nurkić
norman,powell
anfernee,simons
gary,trent,jr.
goga,bitadze
brian,bowen
amida,brimah
oshae,brissett
malcolm,brogdon
aaron,holiday
justin,holiday
jeremy,lamb
jalen,lecque
caris,levert
kelan,martin
t.j.,mcconnell
doug,mcdermott
victor,oladipo
domantas,sabonis
jakarr,sampson
cassius,stanley
edmond,sumner
myles,turner
t.j.,warren
ty-shon,alexander
deandre,ayton
devin,booker
mikal,bridges
jevon,carter
torrey,craig
jae,crowder
langston,galloway
cameron,johnson
damian,jones
frank,kaminsky
e'twaun,moore
abdel,nader
chris,paul
cameron,payne
dario,šarić
jalen,smith
will,barton
bol,bol
facundo,campazzo
vlatko,čančar
gary,clark
pj,dozier
aaron,gordon
jamychal,green
r.j.,hampton
gary,harris
shaquille,harrison
isaiah,hartenstein
markus,howard
nikola,jokić
javale,mcgee
paul,millsap
monte,morris
jamal,murray
zeke,nnaji
michael,porter,jr.
austin,rivers
greg,whittington
steven,adams
nickeil,alexander-walker
lonzo,ball
eric,bledsoe
wenyen,gabriel
josh,hart
jaxson,hayes
willy,hernangómez
brandon,ingram
wes,iwundu
james,johnson
kira,lewis,jr.
didi,louzada
will,magnay
naji,marshall
nicolò,melli
james,nunnally
j.j.,redick
isaiah,thomas
sindarius,thornwell
zion,williamson
nicolas,batum
patrick,beverley
amir,coffey
demarcus,cousins
yogi,ferrell
malik,fitts
paul,george
serge,ibaka
reggie,jackson
mfiondu,kabengele
luke,kennard
kawhi,leonard
terance,mann
marcus,morris
daniel,oturu
patrick,patterson
rajon,rondo
jay,scrubb
lou,williams
ivica,zubac
marvin,bagley,iii
harrison,barnes
nemanja,bjelica
terence,davis
de'aaron,fox
kyle,guy
tyrese,haliburton
maurice,harkless
buddy,hield
richaun,holmes
justin,james
daquan,jeffries
damian,jones
cory,joseph
louis,king
chimezie,metu
jabari,parker
norvel,pelle
jahmi'us,ramsey
glenn,robinson,iii
chris,silva
hassan,whiteside
robert,woodard,ii
delon,wright
kent,bazemore
jordan,bell
marquese,chriss
stephen,curry
draymond,green
damion,lee
kevon,looney
nico,mannion
mychal,mulder
kelly,oubre,jr.
eric,paschall
gary,payton,ii
jordan,poole
alen,smailagić
juan,toscano-anderson
brad,wanamaker
andrew,wiggins
james,wiseman
bogdan,bogdanović
clint,capela
john,collins
kris,dunn
bruno,fernando
danilo,gallinari
brandon,goodwin
solomon,hill
kevin,huerter
de'andre,hunter
nathan,knight
skylar,mays
onyeka,okongwu
cam,reddish
rajon,rondo
tony,snell
lou,williams
trae,young
tony,bradley
ignas,brazdeikis
gary,clark
seth,curry
joel,embiid
terrance,ferguson
danny,green
tobias,harris
george,hill
dwight,howard
isaiah,joe
mason,jones
furkan,korkmaz
dakota,mathias
tyrese,maxey
shake,milton
vincent,poirier
paul,reed
mike,scott
ben,simmons
matisse,thybulle
anthony,tolliver
rayjon,tucker
grayson,allen
kyle,anderson
desmond,bane
dillon,brooks
